Orderid,Orderdate,Priority,Returned,Customerid
AG-2014-DB32703-41838,41838,High,No,DB-32703
AG-2014-DJ35103-41877,41877,Medium,No,DJ-35103
AG-2014-ES40803-41948,41948,Medium,No,ES-40803
AG-2014-HF49953-41706,41706,Medium,No,HF-49953
AG-2014-KE64203-41801,41801,Medium,No,KE-64203
AG-2014-LW71253-41983,41983,High,No,LW-71253
AG-2014-ML73953-41674,41674,Medium,No,ML-73953
AG-2014-NF85953-41830,41830,High,No,NF-85953
AG-2014-RB96453-41894,41894,Critical,No,RB-96453
AG-2014-RD95853-41712,41712,High,Yes,RD-95853
AG-2014-RD95853-41875,41875,Medium,No,RD-95853
AG-2014-SK99903-41881,41881,High,No,SK-99903
AG-2015-AC4203-42065,42065,Medium,No,AC-4203
AG-2015-AM3603-42179,42179,Critical,No,AM-3603
AG-2015-AR5703-42075,42075,High,No,AR-5703
AG-2015-BD16053-42094,42094,High,No,BD-16053
AG-2015-CA23103-42033,42033,Medium,No,CA-23103
AG-2015-CC21003-42309,42309,Medium,No,CC-21003
AG-2015-CC22203-42259,42259,Medium,No,CC-22203
AG-2015-CD27903-42236,42236,High,No,CD-27903
AG-2015-CL25653-42164,42164,High,No,CL-25653
AG-2015-CR27303-42005,42005,High,No,CR-27303
AG-2015-CR28203-42151,42151,Critical,No,CR-28203
AG-2015-CR28203-42314,42314,High,No,CR-28203
AG-2015-DK32253-42304,42304,Medium,No,DK-32253
AG-2015-DL28653-42167,42167,Medium,No,DL-28653
AG-2015-DR29403-42326,42326,Medium,No,DR-29403
AG-2015-DS31803-42046,42046,Low,No,DS-31803
AG-2015-HR48303-42221,42221,Medium,No,HR-48303
AG-2015-IL51003-42028,42028,Medium,No,IL-51003
AG-2015-JE54753-42005,42005,High,No,JE-54753
AG-2015-JG51603-42028,42028,Low,No,JG-51603
AG-2015-JL58353-42315,42315,High,No,JL-58353
AG-2015-JO55503-42070,42070,Medium,No,JO-55503
AG-2015-LD68553-42230,42230,Medium,No,LD-68553
AG-2015-MO78003-42217,42217,Medium,No,MO-78003
AG-2015-MS79803-42363,42363,Medium,No,MS-79803
AG-2015-PO88653-42017,42017,Critical,No,PO-88653
AG-2015-RC99603-42185,42185,High,No,RC-99603
AG-2015-RD96603-42342,42342,Medium,No,RD-96603
AG-2015-RD99303-42208,42208,Medium,No,RD-99303
AG-2015-RO97803-42365,42365,Medium,No,RO-97803
AG-2015-RS94203-42167,42167,Medium,No,RS-94203
AG-2015-SB101703-42026,42026,Medium,No,SB-101703
AG-2015-SL101553-42144,42144,Medium,No,SL-101553
AG-2015-TB112503-42368,42368,Medium,No,TB-112503
AG-2015-YS118803-42365,42365,Medium,No,YS-118803
AJ-2012-CM19359-40962,40962,Medium,No,CM-19359
AJ-2012-JH58209-41272,41272,Medium,No,JH-58209
AJ-2012-RP92709-41165,41165,Medium,No,RP-92709
AJ-2012-TC109809-41067,41067,Critical,No,TC-109809
AJ-2013-GM46809-41542,41542,Medium,No,GM-46809
AJ-2013-SG108909-41580,41580,High,Yes,SG-108909
AJ-2014-CA23109-41865,41865,Medium,No,CA-23109
AJ-2014-DC32859-41646,41646,Medium,No,DC-32859
AJ-2014-GZ45459-41649,41649,High,No,GZ-45459
AJ-2014-JL58359-41662,41662,High,No,JL-58359
AJ-2014-JR57009-41792,41792,High,No,JR-57009
AJ-2014-NC83409-41858,41858,High,No,NC-83409
AJ-2015-DJ34209-42368,42368,High,No,DJ-34209
AJ-2015-DR28809-42365,42365,Medium,No,DR-28809
AJ-2015-GG46509-42246,42246,Medium,No,GG-46509
AJ-2015-GM44409-42059,42059,Medium,No,GM-44409
AJ-2015-LW68259-42300,42300,High,No,LW-68259
AJ-2015-MS73659-42258,42258,Medium,No,MS-73659
AJ-2015-RD97209-42260,42260,Medium,No,RD-97209
AJ-2015-SH99759-42263,42263,High,No,SH-99759
AL-2012-EM38252-41213,41213,Medium,Yes,EM-38252
AL-2012-MC81302-41220,41220,High,No,MC-81302
AL-2012-SC102302-40970,40970,High,Yes,SC-102302
AL-2013-JD58952-41383,41383,Medium,No,JD-58952
AL-2013-JD60152-41483,41483,Medium,No,JD-60152
AL-2013-ML73952-41388,41388,Medium,No,ML-73952
AL-2014-GA45152-41749,41749,Critical,No,GA-45152
AL-2014-NC85352-41993,41993,Medium,No,NC-85352
AL-2014-TT114602-41863,41863,Critical,No,TT-114602
AL-2015-JB59252-42073,42073,High,No,JB-59252
AM-2012-HM49806-41256,41256,High,No,HM-49806
AM-2014-MG76956-41746,41746,Low,No,MG-76956
AO-2012-AA4804-41080,41080,Medium,No,AA-4804
AO-2012-BS18004-41191,41191,High,No,BS-18004
AO-2012-DK31504-40940,40940,Critical,No,DK-31504
AO-2012-GK46204-40914,40914,Medium,No,GK-46204
AO-2012-HZ49504-40916,40916,High,No,HZ-49504
AO-2012-JK53704-41257,41257,High,No,JK-53704
AO-2012-MA79954-40928,40928,High,No,MA-79954
AO-2012-RO97804-41105,41105,High,No,RO-97804
AO-2012-RP98554-41247,41247,Medium,No,RP-98554
AO-2012-SW104554-40942,40942,Low,No,SW-104554
AO-2013-CA23104-41495,41495,Medium,No,CA-23104
AO-2013-CC24754-41612,41612,Medium,No,CC-24754
AO-2013-DH30754-41593,41593,Medium,No,DH-30754
AO-2013-DK32254-41611,41611,Medium,No,DK-32254
AO-2013-DL34954-41296,41296,Medium,No,DL-34954
AO-2013-HJ48754-41546,41546,Medium,No,HJ-48754
AO-2013-JC53404-41476,41476,Medium,No,JC-53404
AO-2013-JE57454-41544,41544,Medium,Yes,JE-57454
AO-2013-LH69004-41590,41590,High,No,LH-69004
AO-2013-MG82054-41438,41438,Medium,No,MG-82054
AO-2013-MO75004-41537,41537,High,No,MO-75004
AO-2013-RD95854-41628,41628,Medium,No,RD-95854
AO-2013-SF102004-41628,41628,Medium,Yes,SF-102004
AO-2014-AS2854-41795,41795,High,No,AS-2854
AO-2014-BP12904-42000,42000,High,No,BP-12904
AO-2014-CM26554-41726,41726,High,No,CM-26554
AO-2014-CW19054-41942,41942,Medium,No,CW-19054
AO-2014-GM45004-41979,41979,Medium,No,GM-45004
AO-2014-HG48454-41863,41863,Medium,No,HG-48454
AO-2014-IG50854-41937,41937,High,No,IG-50854
AO-2014-JH59854-42004,42004,Medium,No,JH-59854
AO-2014-JK60904-41787,41787,High,No,JK-60904
AO-2014-JP54604-41983,41983,Medium,No,JP-54604
AO-2014-LC69604-41957,41957,High,No,LC-69604
AO-2014-LW71254-41964,41964,Medium,No,LW-71254
AO-2014-MM79204-41956,41956,Medium,No,MM-79204
AO-2014-RE94054-41983,41983,Medium,No,RE-94054
AO-2014-SC103054-41942,41942,Medium,No,SC-103054
AO-2015-AH5854-42151,42151,Medium,No,AH-5854
AO-2015-AJ9454-42231,42231,Medium,No,AJ-9454
AO-2015-AZ7504-42241,42241,Medium,No,AZ-7504
AO-2015-BD17254-42152,42152,Low,No,BD-17254
AO-2015-BE14554-42223,42223,Medium,No,BE-14554
AO-2015-DC28504-42054,42054,Medium,No,DC-28504
AO-2015-DR29404-42330,42330,Medium,No,DR-29404
AO-2015-DV34654-42326,42326,High,No,DV-34654
AO-2015-EP39154-42294,42294,High,No,EP-39154
AO-2015-GM45004-42265,42265,Low,No,GM-45004
AO-2015-JF54154-42272,42272,Medium,No,JF-54154
AO-2015-JM56554-42247,42247,High,No,JM-56554
AO-2015-KD63454-42312,42312,High,No,KD-63454
AO-2015-KL66454-42369,42369,High,No,KL-66454
AO-2015-LC69304-42258,42258,High,No,LC-69304
AO-2015-LC70504-42144,42144,Medium,No,LC-70504
AO-2015-LM70654-42314,42314,Medium,No,LM-70654
AO-2015-RM93754-42348,42348,Medium,No,RM-93754
AO-2015-RW95404-42343,42343,Medium,No,RW-95404
AO-2015-SC100204-42105,42105,High,No,SC-100204
AO-2015-SK99904-42017,42017,Medium,No,SK-99904
AO-2015-TB113554-42106,42106,High,No,TB-113554
AU-2012-AG6758-41153,41153,Critical,No,AG-6758
AU-2012-BS15908-41018,41018,Medium,No,BS-15908
AU-2012-DS30308-41138,41138,Medium,No,DS-30308
AU-2012-JL51308-41118,41118,Medium,No,JL-51308
AU-2012-LR70358-40995,40995,Medium,No,LR-70358
AU-2012-PM89408-41033,41033,Medium,No,PM-89408
AU-2013-AM3608-41630,41630,Medium,No,AM-3608
AU-2013-EH41858-41436,41436,Medium,No,EH-41858
AU-2013-GM45008-41576,41576,Medium,No,GM-45008
AU-2013-LA67808-41471,41471,Medium,No,LA-67808
AU-2013-LB67958-41437,41437,Medium,No,LB-67958
AU-2013-SK99908-41376,41376,High,No,SK-99908
AU-2013-SV108158-41629,41629,Medium,No,SV-108158
AU-2014-AC6158-41908,41908,High,No,AC-6158
AU-2014-AG4958-41825,41825,Medium,No,AG-4958
AU-2014-AH5858-41744,41744,High,No,AH-5858
AU-2014-CK23258-41934,41934,Medium,No,CK-23258
AU-2014-JM55808-41726,41726,Medium,No,JM-55808
AU-2014-LE68108-41712,41712,Medium,No,LE-68108
AU-2014-MO75008-41871,41871,Medium,No,MO-75008
AU-2014-SN107108-41724,41724,High,No,SN-107108
AU-2015-AG7658-42255,42255,High,No,AG-7658
AU-2015-BT16808-42187,42187,Medium,No,BT-16808
AU-2015-CA19658-42242,42242,Medium,No,CA-19658
AU-2015-DA34508-42355,42355,Medium,No,DA-34508
AU-2015-DD35708-42089,42089,Medium,No,DD-35708
AU-2015-DH36758-42052,42052,High,No,DH-36758
AU-2015-EB39758-42334,42334,Medium,No,EB-39758
AU-2015-FM42158-42250,42250,Medium,No,FM-42158
AU-2015-GB45308-42199,42199,High,No,GB-45308
AU-2015-MD78608-42243,42243,High,No,MD-78608
AU-2015-MK79058-42220,42220,Medium,No,MK-79058
AU-2015-PF91208-42181,42181,Medium,No,PF-91208
AU-2015-SU106658-42083,42083,Medium,No,SU-106658
BA-2014-ES408010-41902,41902,Medium,No,ES-408010
BK-2012-EB375017-41244,41244,High,No,EB-375017
BK-2013-CM265517-41354,41354,High,No,CM-265517
BK-2013-NW840017-41492,41492,High,No,NW-840017
BK-2014-GT471017-41811,41811,Medium,No,GT-471017
BK-2015-ME732017-42236,42236,Low,No,ME-732017
BK-2015-ML775517-42343,42343,Medium,No,ML-775517
BK-2015-PG882017-42047,42047,Medium,No,PG-882017
BK-2015-RS987017-42046,42046,High,No,RS-987017
BN-2012-BS159015-41026,41026,High,No,BS-159015
BN-2012-DO343515-41172,41172,High,No,DO-343515
BN-2012-JK520515-41172,41172,High,No,JK-520515
BN-2012-NB865515-40937,40937,Medium,No,NB-865515
BN-2012-RW963015-41216,41216,Medium,Yes,RW-963015
BN-2013-AA37515-41380,41380,Medium,No,AA-37515
BN-2013-AS22515-41597,41597,Medium,No,AS-22515
BN-2013-CC267015-41454,41454,Medium,No,CC-267015
BN-2013-HZ495015-41524,41524,Critical,No,HZ-495015
BN-2014-BP109515-42003,42003,High,No,BP-109515
BN-2014-CY274515-41877,41877,High,No,CY-274515
BN-2014-KB631515-41904,41904,Medium,Yes,KB-631515
BN-2014-KD649515-41971,41971,High,No,KD-649515
BN-2014-SW1045515-41853,41853,Medium,No,SW-1045515
BN-2015-AS1009015-42348,42348,High,No,AS-1009015
BN-2015-GH441015-42072,42072,Medium,No,GH-441015
BN-2015-MB730515-42168,42168,Medium,No,MB-730515
BN-2015-PF916515-42335,42335,Medium,No,PF-916515
BN-2015-RS942015-42158,42158,Medium,No,RS-942015
BN-2015-TB1135515-42063,42063,Medium,No,TB-1135515
BN-2015-TH1111515-42045,42045,Medium,No,TH-1111515
BN-2015-TP1156515-42266,42266,Medium,No,TP-1156515
BN-2015-TS1143015-42251,42251,Medium,No,TS-1143015
BO-2012-DK283513-41149,41149,Medium,No,DK-283513
BO-2012-ES402013-41147,41147,Medium,No,ES-402013
BO-2012-RB957013-41233,41233,Medium,No,RB-957013
BO-2012-SS1059013-41132,41132,Critical,No,SS-1059013
BO-2013-AM70513-41478,41478,Low,No,AM-70513
BO-2013-BT130513-41305,41305,Medium,No,BT-130513
BO-2013-CS217513-41523,41523,High,No,CS-217513
BO-2013-DJ363013-41361,41361,High,No,DJ-363013
BO-2013-GH441013-41502,41502,High,No,GH-441013
BO-2013-JK573013-41528,41528,Medium,No,JK-573013
BO-2013-LC714013-41622,41622,Medium,No,LC-714013
BO-2013-MM828013-41437,41437,High,No,MM-828013
BO-2013-NR855013-41433,41433,Medium,No,NR-855013
BO-2013-TZ1144513-41508,41508,Medium,No,TZ-1144513
BO-2014-AF87013-41815,41815,Medium,No,AF-87013
BO-2014-HW493513-41837,41837,Critical,No,HW-493513
BO-2014-KB624013-41951,41951,Medium,No,KB-624013
BO-2014-KH636013-41859,41859,High,Yes,KH-636013
BO-2014-ML826513-41984,41984,Low,No,ML-826513
BO-2014-PJ883513-41949,41949,Critical,No,PJ-883513
BO-2014-PO918013-41829,41829,Medium,No,PO-918013
BO-2014-RD966013-41958,41958,High,No,RD-966013
BO-2015-AA31513-42160,42160,Medium,No,AA-31513
BO-2015-CD279013-42161,42161,High,No,CD-279013
BO-2015-DB291013-42014,42014,Medium,No,DB-291013
BO-2015-DL331513-42266,42266,High,No,DL-331513
BO-2015-DS303013-42042,42042,Medium,No,DS-303013
BO-2015-EB411013-42349,42349,Medium,No,EB-411013
BO-2015-JF549013-42255,42255,Low,No,JF-549013
BO-2015-KA652513-42276,42276,Medium,No,KA-652513
BO-2015-LC705013-42363,42363,Critical,No,LC-705013
BO-2015-ME732013-42181,42181,High,No,ME-732013
BO-2015-ML741013-42200,42200,Medium,No,ML-741013
BO-2015-MS798013-42091,42091,Medium,Yes,MS-798013
BO-2015-MZ733513-42046,42046,High,No,MZ-733513
BO-2015-PB910513-42158,42158,Medium,No,PB-910513
BO-2015-PB915013-42172,42172,Medium,No,PB-915013
BO-2015-TC1114513-42180,42180,Medium,No,TC-1114513
BO-2015-TS1165513-42065,42065,Medium,No,TS-1165513
BO-2015-TW1102513-42193,42193,Low,No,TW-1102513
BO-2015-TW1102513-42224,42224,High,No,TW-1102513
BO-2015-VG1179013-42222,42222,Medium,No,VG-1179013
BU-2012-DE325519-41219,41219,Medium,No,DE-325519
BU-2012-EH394519-41265,41265,Medium,Yes,EH-394519
BU-2012-HR477019-41114,41114,Low,No,HR-477019
BU-2012-ME772519-41126,41126,Critical,No,ME-772519
BU-2012-VS1182019-41038,41038,Medium,No,VS-1182019
BU-2013-AH1003019-41476,41476,Medium,No,AH-1003019
BU-2013-EK379519-41593,41593,High,No,EK-379519
BU-2013-JC534019-41598,41598,High,No,JC-534019
BU-2013-JD579019-41552,41552,Medium,No,JD-579019
BU-2013-JO528019-41426,41426,High,No,JO-528019
BU-2013-MH745519-41520,41520,Medium,No,MH-745519
BU-2013-MT807019-41605,41605,Low,No,MT-807019
BU-2013-PC874519-41579,41579,Medium,No,PC-874519
BU-2013-PF912019-41472,41472,High,No,PF-912019
BU-2013-RD972019-41296,41296,High,No,RD-972019
BU-2013-RH955519-41523,41523,High,No,RH-955519
BU-2013-RM937519-41445,41445,Medium,No,RM-937519
BU-2014-AS24019-41871,41871,High,No,AS-24019
BU-2014-CM265519-41731,41731,Critical,No,CM-265519
BU-2014-CS186019-41993,41993,High,Yes,CS-186019
BU-2014-DH367519-41891,41891,Medium,No,DH-367519
BU-2014-JK537019-41893,41893,Medium,No,JK-537019
BU-2014-LF718519-41948,41948,High,No,LF-718519
BU-2014-LF718519-41990,41990,Medium,No,LF-718519
BU-2014-MH745519-41670,41670,High,Yes,MH-745519
BU-2014-PB921019-41962,41962,High,No,PB-921019
BU-2014-PC874519-41954,41954,Medium,No,PC-874519
BU-2014-RE940519-41865,41865,Critical,No,RE-940519
BU-2014-TH1110019-41954,41954,Medium,No,TH-1110019
BU-2014-TT1122019-41840,41840,Medium,No,TT-1122019
BU-2014-VT1170019-41796,41796,Medium,No,VT-1170019
BU-2015-BD162019-42225,42225,High,No,BD-162019
BU-2015-CA226519-42162,42162,Medium,No,CA-226519
BU-2015-CC247519-42314,42314,Medium,No,CC-247519
BU-2015-CJ187519-42255,42255,High,No,CJ-187519
BU-2015-DP310519-42193,42193,Critical,No,DP-310519
BU-2015-GD459019-42017,42017,Medium,No,GD-459019
BU-2015-JL513019-42172,42172,Medium,No,JL-513019
BU-2015-KM637519-42048,42048,Medium,No,KM-637519
BU-2015-LH715519-42122,42122,High,No,LH-715519
BU-2015-MH802519-42064,42064,Medium,No,MH-802519
BY-2012-MV748520-41031,41031,High,No,MV-748520
BY-2013-KA652520-41592,41592,Medium,No,KA-652520
CA-2012-AA10315140-40998,40998,Medium,No,AA-103151404
CA-2012-AA10315140-41166,41166,Medium,No,AA-103151406
CA-2012-AA10375140-41019,41019,Medium,No,AA-103751404
CA-2012-AA10375140-41205,41205,Medium,No,AA-103751404
CA-2012-AA10480140-41032,41032,High,No,AA-104801406
CA-2012-AA10645140-41081,41081,High,No,AA-106451406
CA-2012-AA10645140-41243,41243,High,No,AA-106451406
CA-2012-AB10015140-40958,40958,Low,No,AB-100151402
CA-2012-AB10015140-40974,40974,High,No,AB-100151404
CA-2012-AB10105140-41262,41262,Medium,No,AB-101051402
CA-2012-AB10150140-40972,40972,Medium,No,AB-101501406
CA-2012-AB10255140-41111,41111,Medium,No,AB-102551404
CA-2012-AB10600140-41230,41230,Low,No,AB-106001402
CA-2012-AC10420140-41101,41101,High,No,AC-104201404
CA-2012-AD10180140-41231,41231,Medium,No,AD-101801406
CA-2012-AF10885140-41038,41038,Medium,No,AF-108851406
CA-2012-AF10885140-41163,41163,Medium,No,AF-108851406
CA-2012-AG10270140-41041,41041,Medium,No,AG-102701404
CA-2012-AG10270140-41112,41112,Critical,No,AG-102701406
CA-2012-AG10300140-41024,41024,Low,No,AG-103001404
CA-2012-AG10390140-41017,41017,Medium,No,AG-103901408
CA-2012-AG10390140-41154,41154,Critical,No,AG-103901406
CA-2012-AG10525140-41129,41129,Low,No,AG-105251408
CA-2012-AG10525140-41153,41153,Medium,Yes,AG-105251402
CA-2012-AH10030140-41020,41020,Critical,No,AH-100301406
CA-2012-AH10030140-41041,41041,Medium,No,AH-100301404
CA-2012-AH10030140-41273,41273,High,No,AH-100301406
CA-2012-AH10075140-41228,41228,Medium,No,AH-100751404
CA-2012-AH10120140-41107,41107,High,No,AH-101201404
CA-2012-AH10210140-41241,41241,Medium,No,AH-102101404
CA-2012-AH10585140-41207,41207,Medium,No,AH-105851404
CA-2012-AH10690140-41000,41000,Medium,No,AH-106901408
CA-2012-AH19523-41129,41129,Medium,No,AH-19523
CA-2012-AI10855140-41026,41026,High,No,AI-108551404
CA-2012-AI10855140-41038,41038,Medium,No,AI-108551404
CA-2012-AI10855140-41271,41271,Medium,No,AI-108551404
CA-2012-AJ10780140-40919,40919,Medium,No,AJ-107801408
CA-2012-AJ10780140-41212,41212,Critical,Yes,AJ-107801406
CA-2012-AJ10780140-41270,41270,Medium,No,AJ-107801406
CA-2012-AJ10795140-41042,41042,Medium,No,AJ-107951408
CA-2012-AJ10795140-41271,41271,High,No,AJ-107951404
CA-2012-AJ10945140-40970,40970,Medium,No,AJ-109451408
CA-2012-AJ10960140-41165,41165,Medium,No,AJ-109601406
CA-2012-AJ10960140-41272,41272,Medium,No,AJ-109601406
CA-2012-AM10360140-41187,41187,Critical,No,AM-103601402
CA-2012-AM10705140-41212,41212,Medium,No,AM-107051406
CA-2012-AP10720140-40970,40970,High,No,AP-107201406
CA-2012-AP10915140-41143,41143,Medium,No,AP-109151404
CA-2012-AP10915140-41180,41180,High,No,AP-109151404
CA-2012-AP10915140-41205,41205,Critical,No,AP-109151408
CA-2012-AP10915140-41223,41223,Low,No,AP-109151404
CA-2012-AR10405140-41184,41184,Medium,No,AR-104051404
CA-2012-AR10510140-41030,41030,High,No,AR-105101406
CA-2012-AR10540140-41237,41237,High,No,AR-105401406
CA-2012-AR10825140-41089,41089,Medium,No,AR-108251404
CA-2012-AS10090140-41173,41173,Medium,No,AS-100901406
CA-2012-AS10090140-41266,41266,High,No,AS-100901404
CA-2012-AS10225140-41199,41199,Medium,No,AS-102251408
CA-2012-AS10240140-40982,40982,High,No,AS-102401408
CA-2012-AS10240140-41192,41192,Medium,No,AS-102401404
CA-2012-AS10630140-41121,41121,High,No,AS-106301406
CA-2012-AS10630140-41249,41249,Medium,No,AS-106301404
CA-2012-AS24023-41172,41172,Medium,No,AS-24023
CA-2012-AT10435140-41236,41236,Medium,No,AT-104351406
CA-2012-AT10435140-41269,41269,High,No,AT-104351404
CA-2012-AT10735140-41150,41150,Medium,No,AT-107351406
CA-2012-AT10735140-41215,41215,Medium,No,AT-107351408
CA-2012-AY10555140-41004,41004,Medium,No,AY-105551404
CA-2012-AY10555140-41268,41268,Medium,No,AY-105551406
CA-2012-AZ10750140-40984,40984,High,No,AZ-107501402
CA-2012-AZ10750140-40992,40992,Medium,Yes,AZ-107501406
CA-2012-BB10990140-41116,41116,Medium,No,BB-109901404
CA-2012-BC11125140-41095,41095,Low,No,BC-111251404
CA-2012-BC11125140-41164,41164,High,No,BC-111251402
CA-2012-BD11500140-40941,40941,High,No,BD-115001402
CA-2012-BD11605140-40922,40922,High,No,BD-116051404
CA-2012-BD11620140-41089,41089,Medium,No,BD-116201408
CA-2012-BD11635140-41186,41186,Medium,No,BD-116351406
CA-2012-BF10975140-41103,41103,Medium,No,BF-109751406
CA-2012-BF10975140-41121,41121,Medium,No,BF-109751408
CA-2012-BF11005140-41176,41176,Medium,No,BF-110051404
CA-2012-BF11020140-40955,40955,Medium,No,BF-110201404
CA-2012-BF11080140-41240,41240,Medium,No,BF-110801408
CA-2012-BF11170140-41011,41011,Medium,No,BF-111701406
CA-2012-BF11170140-41101,41101,High,No,BF-111701404
CA-2012-BF11215140-41221,41221,Medium,No,BF-112151406
CA-2012-BF11275140-40989,40989,Medium,No,BF-112751404
CA-2012-BG11035140-41248,41248,High,No,BG-110351408
CA-2012-BG11695140-41039,41039,Medium,No,BG-116951406
CA-2012-BG11740140-40990,40990,Medium,No,BG-117401408
CA-2012-BH11710140-41068,41068,Medium,No,BH-117101404
CA-2012-BK11260140-41123,41123,Medium,No,BK-112601406
CA-2012-BM11140140-41159,41159,Medium,No,BM-111401402
CA-2012-BM11650140-41098,41098,Medium,No,BM-116501402
CA-2012-BM11650140-41172,41172,High,No,BM-116501402
CA-2012-BM11785140-41065,41065,High,No,BM-117851406
CA-2012-BM11785140-41153,41153,Medium,No,BM-117851402
CA-2012-BM11785140-41256,41256,Medium,No,BM-117851408
CA-2012-BM165023-41216,41216,Medium,No,BM-165023
CA-2012-BN11470140-41163,41163,Medium,No,BN-114701408
CA-2012-BN11515140-40984,40984,Medium,No,BN-115151402
CA-2012-BN11515140-41168,41168,Medium,No,BN-115151404
CA-2012-BP11095140-41190,41190,Medium,No,BP-110951408
CA-2012-BP11095140-41219,41219,Medium,No,BP-110951406
CA-2012-BP11095140-41261,41261,Medium,Yes,BP-110951404
CA-2012-BP11230140-41018,41018,Medium,No,BP-112301404
CA-2012-BP11290140-41184,41184,Medium,No,BP-112901402
CA-2012-BS11365140-41170,41170,High,No,BS-113651406
CA-2012-BS11590140-40923,40923,High,No,BS-115901406
CA-2012-BS11590140-41145,41145,Medium,No,BS-115901406
CA-2012-BS11590140-41247,41247,Medium,No,BS-115901404
CA-2012-BS11665140-41082,41082,High,No,BS-116651406
CA-2012-BS11755140-41046,41046,Medium,Yes,BS-117551406
CA-2012-BS11755140-41123,41123,High,No,BS-117551404
CA-2012-BT11305140-41023,41023,High,No,BT-113051404
CA-2012-BT11395140-41209,41209,High,No,BT-113951402
CA-2012-BT11440140-41063,41063,Medium,No,BT-114401406
CA-2012-BT11440140-41235,41235,Medium,No,BT-114401402
CA-2012-BT11530140-41049,41049,Medium,No,BT-115301404
CA-2012-BT11530140-41264,41264,Medium,No,BT-115301406
CA-2012-BT11680140-41240,41240,High,No,BT-116801402
CA-2012-BW11065140-41053,41053,Medium,No,BW-110651406
CA-2012-BW111023-41084,41084,Critical,No,BW-111023
CA-2012-BW11200140-41132,41132,High,No,BW-112001404
CA-2012-CA11965140-40935,40935,High,No,CA-119651402
CA-2012-CA12265140-40992,40992,Medium,No,CA-122651404
CA-2012-CA12775140-41087,41087,High,No,CA-127751406
CA-2012-CA12775140-41165,41165,High,No,CA-127751408
CA-2012-CB12025140-40988,40988,High,No,CB-120251406
CA-2012-CB12025140-41229,41229,Medium,No,CB-120251402
CA-2012-CC12100140-41258,41258,High,No,CC-121001404
CA-2012-CC12145140-41109,41109,Medium,No,CC-121451404
CA-2012-CC12220140-41160,41160,High,No,CC-122201402
CA-2012-CC12220140-41185,41185,Critical,No,CC-122201406
